Eviction Notice Source Zipcode,File Date,Neighborhoods - Analysis Boundaries
94107,3/18/20,Castro/Upper Market
94114,3/20/20,Castro/Upper Market
94133,3/20/20,Chinatown
94110,3/20/20,Mission
94110,3/20/20,Bernal Heights
94112,3/20/20,Outer Mission
94102,3/23/20,Tenderloin
94103,3/23/20,Mission
94102,3/23/20,Tenderloin
94107,3/24/20,Potrero Hill
94132,3/24/20,Lakeshore
94117,3/25/20,Hayes Valley
94117,3/25/20,Hayes Valley
94116,3/26/20,Sunset/Parkside
94109,3/27/20,Nob Hill
94132,3/30/20,Lakeshore
94122,3/30/20,Sunset/Parkside
94103,3/31/20,Mission
94110,4/1/20,Mission
94102,4/1/20,Tenderloin
94109,4/2/20,Nob Hill
94109,4/3/20,Western Addition
94109,4/3/20,Nob Hill
94103,4/3/20,Mission
94107,4/3/20,Potrero Hill
94109,4/3/20,Tenderloin
94115,4/3/20,Western Addition
94121,4/3/20,Outer Richmond
94102,4/6/20,Hayes Valley
94134,4/6/20,Portola
94112,4/8/20,Oceanview/Merced/Ingleside
94114,4/8/20,Castro/Upper Market
94114,4/9/20,Castro/Upper Market
94116,4/9/20,Sunset/Parkside
94109,4/9/20,Nob Hill
94133,4/10/20,North Beach
94133,4/10/20,North Beach
94123,4/13/20,Marina
94103,4/13/20,South of Market
94111,4/15/20,East Cut
94122,4/17/20,Inner Sunset
94103,4/17/20,Mission Bay
94102,4/20/20,Tenderloin
94103,4/22/20,South of Market
94122,4/23/20,Inner Sunset
94103,4/23/20,South of Market
94109,4/23/20,Pacific Heights
94124,4/28/20,Inner Richmond
94122,4/29/20,Sunset/Parkside
94109,4/29/20,Pacific Heights
94116,5/1/20,Sunset/Parkside
94122,5/1/20,Sunset/Parkside
94115,5/1/20,Western Addition
94121,5/1/20,Outer Richmond
94110,5/4/20,Mission
94102,5/4/20,Tenderloin
94117,5/5/20,Haight Ashbury
94103,5/5/20,South of Market
94102,5/5/20,Mission
94134,5/6/20,Bayview Hunters Point
94109,5/6/20,Nob Hill
94109,5/6/20,Tenderloin
94103,5/6/20,South of Market
94103,5/6/20,South of Market
94115,5/6/20,Western Addition
94121,5/7/20,Outer Richmond
94124,5/7/20,Bayview Hunters Point
94103,5/7/20,South of Market
94102,5/8/20,Tenderloin
94132,5/8/20,Oceanview/Merced/Ingleside
94115,5/8/20,Lone Mountain/USF
94122,5/11/20,Sunset/Parkside
94122,5/11/20,Inner Sunset
94121,5/14/20,Outer Richmond
94110,5/15/20,Mission
94109,5/18/20,Tenderloin
94108,5/19/20,Nob Hill
94102,5/20/20,Tenderloin
94114,5/22/20,Noe Valley
94110,5/22/20,Mission
94133,5/22/20,North Beach
94105,5/22/20,Financial District/South Beach
94103,5/23/20,Mission
94109,5/26/20,Pacific Heights
94109,5/26/20,Nob Hill
94117,5/27/20,Lone Mountain/USF
94110,5/27/20,Mission
94103,5/28/20,Mission
94102,5/28/20,Tenderloin
94133,5/29/20,Chinatown
94103,5/29/20,
94103,6/1/20,
94117,6/1/20,Hayes Valley
94133,6/2/20,North Beach
94133,6/2/20,North Beach
94110,6/3/20,Mission
94116,6/5/20,Sunset/Parkside
94132,6/5/20,Lakeshore
94102,6/5/20,Tenderloin
94112,6/8/20,Outer Mission
94107,6/8/20,Financial District/South Beach
94103,6/8/20,South of Market
94132,6/8/20,Lakeshore
94103,6/8/20,Mission
94121,6/9/20,Outer Richmond
94110,6/10/20,Mission
94103,6/10/20,South of Market
94112,6/10/20,Excelsior
94133,6/10/20,Chinatown
94134,6/10/20,Visitacion Valley
94103,6/15/20,South of Market
94112,6/15/20,Outer Mission
94112,6/15/20,Bernal Heights
94109,6/16/20,Tenderloin
94124,6/17/20,Bayview Hunters Point
94124,6/17/20,Bayview Hunters Point
94124,6/17/20,Bayview Hunters Point
94131,6/17/20,Noe Valley
94124,6/18/20,Bayview Hunters Point
94108,6/19/20,Nob Hill
94124,6/19/20,Bayview Hunters Point
94110,6/23/20,Mission
94110,6/23/20,Mission
94103,6/24/20,Mission
94103,6/24/20,Mission
94109,6/24/20,Russian Hill
94103,6/24/20,Mission
94103,6/24/20,Mission
94103,6/24/20,Mission
94132,6/24/20,Lakeshore
94116,6/25/20,Sunset/Parkside
94102,6/26/20,Hayes Valley
94103,6/26/20,South of Market
94103,6/26/20,Mission
94109,6/29/20,Nob Hill
94112,6/29/20,Outer Mission
94122,6/29/20,Inner Sunset
94110,6/29/20,Mission
94109,6/29/20,Western Addition
94110,6/29/20,Mission
94112,6/29/20,Outer Mission
94132,6/29/20,Lakeshore
94112,6/30/20,Outer Mission
94112,6/30/20,Oceanview/Merced/Ingleside
94109,7/1/20,Nob Hill
94112,7/1/20,Excelsior
94103,7/2/20,Mission
94103,7/2/20,Mission
94116,7/2/20,Sunset/Parkside
94109,7/2/20,Nob Hill
94103,7/2/20,Mission
94103,7/3/20,Mission
94121,7/6/20,Outer Richmond
94102,7/6/20,Tenderloin
94102,7/6/20,Tenderloin
94122,7/6/20,Inner Sunset
94103,7/6/20,Mission
94109,7/7/20,Tenderloin
94133,7/8/20,North Beach
94103,7/8/20,Mission
94118,7/8/20,Inner Richmond
94118,7/8/20,Inner Richmond
94109,7/9/20,Tenderloin
94103,7/9/20,Mission
94123,7/9/20,Marina
94123,7/9/20,Marina
94132,7/10/20,Lakeshore
94109,7/10/20,Tenderloin
94109,7/13/20,Nob Hill
94121,7/13/20,Outer Richmond
94110,7/14/20,Mission
94102,7/15/20,Tenderloin
94122,7/15/20,Sunset/Parkside
94118,7/15/20,Inner Richmond
94122,7/15/20,Sunset/Parkside
94124,7/16/20,Bayview Hunters Point
94109,7/16/20,Tenderloin
94112,7/20/20,Outer Mission
94109,7/20/20,Nob Hill
94115,7/21/20,Pacific Heights
94133,7/21/20,North Beach
94115,7/21/20,Pacific Heights
94133,7/21/20,North Beach
94132,7/24/20,Sunset/Parkside
94103,7/27/20,Mission
94134,7/27/20,Bayview Hunters Point
94123,7/28/20,Marina
94102,7/30/20,Tenderloin
94131,7/30/20,Noe Valley
94102,7/30/20,Tenderloin
94132,7/30/20,Lakeshore
94118,7/30/20,Inner Richmond
94102,7/30/20,Tenderloin
94131,7/31/20,West of Twin Peaks
94131,7/31/20,West of Twin Peaks
94123,8/3/20,Marina
94103,8/4/20,Mission
94103,8/4/20,Mission
94103,8/4/20,Mission
94112,8/4/20,Outer Mission
94103,8/4/20,Mission
94105,8/5/20,Financial District/South Beach
94122,8/6/20,Inner Sunset
94103,8/7/20,Mission
94103,8/7/20,Mission
94102,8/10/20,Hayes Valley
94121,8/10/20,Outer Richmond
94110,8/10/20,Mission
94110,8/10/20,Mission
94109,8/12/20,Nob Hill
94102,8/13/20,Tenderloin
94102,8/13/20,Tenderloin
94112,8/13/20,Outer Mission
94103,8/14/20,South of Market
94133,8/14/20,North Beach
94124,8/17/20,Bayview Hunters Point
94117,8/17/20,Haight Ashbury
94134,8/17/20,Portola
94109,8/17/20,Russian Hill
94129,8/17/20,Presidio
94117,8/18/20,Hayes Valley
94114,8/18/20,Castro/Upper Market
94103,8/18/20,Mission
94121,8/18/20,Outer Richmond
94116,8/18/20,Sunset/Parkside
94133,8/19/20,Nob Hill
94110,8/19/20,Mission
94102,8/19/20,Tenderloin
94102,8/19/20,Tenderloin
94121,8/20/20,Outer Richmond
94110,8/20/20,Bernal Heights
94123,8/20/20,Marina
94123,8/20/20,Marina
94123,8/20/20,Marina
94103,8/21/20,Mission
94102,8/21/20,Tenderloin
94121,8/21/20,Outer Richmond
94103,8/21/20,Mission
94103,8/24/20,Mission
94102,8/24/20,Tenderloin
94123,8/24/20,Marina
94131,8/25/20,Twin Peaks
94118,8/25/20,Lone Mountain/USF
94123,8/25/20,Marina
94115,8/26/20,Japantown
94133,8/26/20,Chinatown
94123,8/27/20,Marina
94103,8/27/20,Mission
94124,8/27/20,Bayview Hunters Point
94110,8/27/20,Mission
94124,8/27/20,Bayview Hunters Point
94123,8/28/20,Marina
94124,8/31/20,Bayview Hunters Point
94133,8/31/20,Nob Hill
94132,9/1/20,Lakeshore
94110,9/1/20,Potrero Hill
94122,9/2/20,Sunset/Parkside
94015,9/2/20,Daly City
94123,9/3/20,Marina
94102,9/3/20,Tenderloin
94131,9/3/20,Noe Valley
94105,9/3/20,Financial District/South Beach
94103,9/8/20,Mission
94105,9/8/20,Financial District/South Beach
94123,9/9/20,Marina
94109,9/9/20,Tenderloin
94123,9/9/20,Marina
94115,9/9/20,Western Addition
94103,9/9/20,Mission
94109,9/9/20,Nob Hill
94110,9/10/20,Potrero Hill
94114,9/11/20,Castro/Upper Market
94124,9/11/20,Bayview Hunters Point
94103,9/11/20,South of Market
94114,9/11/20,Castro/Upper Market
94124,9/11/20,Bayview Hunters Point
94102,9/14/20,Tenderloin
94110,9/14/20,Bernal Heights
94103,9/14/20,Mission
94123,9/15/20,Marina
94110,9/15/20,Mission
94110,9/16/20,Mission
94103,9/16/20,Mission
94102,9/17/20,Tenderloin
94116,9/21/20,Sunset/Parkside
94102,9/21/20,Hayes Valley
94117,9/21/20,Hayes Valley
94116,9/21/20,Sunset/Parkside
94121,9/21/20,Outer Richmond
94110,9/21/20,Mission
94112,9/21/20,Excelsior
94103,9/22/20,Mission
94103,9/22/20,Mission
94103,9/22/20,Mission
94103,9/22/20,Mission
94103,9/22/20,Mission
94103,9/22/20,Mission
94133,9/23/20,North Beach