Bayview Hunters Point,37450
Bernal Heights,25840
Castro/Upper Market,20260
Chinatown,14600
Excelsior,39960
Financial District/South Beach,16540
Haight Ashbury,17920
Hayes Valley,17770
Inner Richmond,21340
Inner Sunset,28020
Japantown,3920
Lakeshore,13220
Lone Mountain/USF,17180
Marina,24850
Mission,56480
Mission Bay,9800
Nob Hill,25540
Noe Valley,22380
North Beach,12760
Oceanview/Merced/Ingleside,27390
Outer Mission,23610
Outer Richmond,44980
Pacific Heights,23760
Portola,15940
Potrero Hill,13100
Presidio,3450
Russian Hill,18610
South of Market,17830
Sunset/Parkside,79790
Tenderloin,27640
Twin Peaks,6950
Visitacion Valley,17450
West of Twin Peaks,37280
Western Addition,20400